nome_servizio,tipo_luogo,ente_gestore,macroarea,descrizione,destinatari,indirizzo,quartiere,giorni_orari,modalita_accesso,telefono,email,costo,latitudine,longitudine,fonte,stato_verifica,municipio
DEMO – Punto QuBì Centro,punto qubi,Ente dimostrativo,Accesso e orientamento,Punto fittizio usato esclusivamente per provare la mappa.,Famiglie con minori,"Piazza del Duomo 1, Milano",Centro,Lunedì 10:00-12:00,Accesso libero,,,Gratuito,45.4642,9.19,Dati dimostrativi,DEMO - SERVIZIO NON REALE,Municipio 1
DEMO – Ospedale Famiglie Nord,ospedale,Ente dimostrativo,Salute,Servizio sanitario fittizio per testare l'icona ospedale.,Minori e famiglie,"Piazza Ospedale Maggiore 3, Milano",Niguarda,Sempre aperto,Su invio o appuntamento,,,Da verificare,45.5108,9.186,Dati dimostrativi,DEMO - SERVIZIO NON REALE,Municipio 9
DEMO – Casa di Quartiere Centrale,casa di quartiere,Ente dimostrativo,Comunità e partecipazione,Spazio di comunità fittizio per attività e incontri.,Tutta la cittadinanza,"Piazza Duca d'Aosta 1, Milano",Centrale,Martedì-Sabato 09:00-18:00,Accesso libero,,,Gratuito,45.4857,9.2042,Dati dimostrativi,DEMO - SERVIZIO NON REALE,Municipio 2
DEMO – Scuola Aperta Lambrate,scuola,Ente dimostrativo,Educazione,Scuola fittizia con doposcuola e laboratori.,Bambini e adolescenti,"Piazza Enrico Bottini 10, Milano",Lambrate,Lunedì-Venerdì 14:00-18:00,Iscrizione,,,Gratuito,45.4846,9.237,Dati dimostrativi,DEMO - SERVIZIO NON REALE,Municipio 3
DEMO – Centro Educativo Trotter,servizio educativo,Ente dimostrativo,Educazione,Centro educativo fittizio per supporto allo studio.,Minori 6-14 anni,"Via Giuseppe Giacosa 46, Milano",Padova,Lunedì-Venerdì 15:00-19:00,Su iscrizione,,,Gratuito,45.495,9.22,Dati dimostrativi,DEMO - SERVIZIO NON REALE,Municipio 2
DEMO – Biblioteca delle Famiglie,biblioteca,Ente dimostrativo,Cultura,Biblioteca fittizia con letture e laboratori.,"Bambini, ragazzi e adulti","Via Valvassori Peroni 56, Milano",Lambrate,Martedì-Sabato 10:00-19:00,Accesso libero,,,Gratuito,45.4787,9.2374,Dati dimostrativi,DEMO - SERVIZIO NON REALE,Municipio 3
DEMO – Centro Culturale Tortona,cultura,Ente dimostrativo,Cultura,Spazio culturale fittizio per eventi e laboratori.,Tutta la cittadinanza,"Via Tortona 31, Milano",Tortona,Mercoledì-Domenica 10:00-20:00,Accesso libero o prenotazione,,,Variabile,45.4514,9.1607,Dati dimostrativi,DEMO - SERVIZIO NON REALE,Municipio 6
DEMO – Centro Sportivo CityLife,sport,Ente dimostrativo,Sport e benessere,Centro sportivo fittizio per attività dedicate ai minori.,Minori 6-17 anni,"Piazza Tre Torri 1, Milano",CityLife,Lunedì-Sabato 09:00-21:00,Iscrizione,,,Quota ridotta,45.4782,9.1565,Dati dimostrativi,DEMO - SERVIZIO NON REALE,Municipio 8
DEMO – Servizio Sociale Darsena,servizio sociale,Ente dimostrativo,Orientamento sociale,Sportello sociale fittizio per ascolto e invio.,Famiglie,"Piazza XXIV Maggio 1, Milano",Darsena,Lunedì e giovedì 09:00-13:00,Accesso libero,,,Gratuito,45.4525,9.1766,Dati dimostrativi,DEMO - SERVIZIO NON REALE,Municipio 5
DEMO – Associazione Comunità Bicocca,associazione,Ente dimostrativo,Partecipazione,Associazione fittizia per volontariato e cittadinanza attiva.,Giovani e adulti,"Piazza dell'Ateneo Nuovo 1, Milano",Bicocca,Martedì e venerdì 16:00-20:00,Accesso libero,,,Gratuito,45.5189,9.2138,Dati dimostrativi,DEMO - SERVIZIO NON REALE,Municipio 9
DEMO – Casa di Quartiere Sud,casa di quartiere,Ente dimostrativo,Comunità e partecipazione,Spazio fittizio per attività di quartiere.,Tutta la cittadinanza,"Via San Domenico Savio 3, Milano",Chiesa Rossa,Lunedì-Sabato 10:00-18:00,Accesso libero,,,Gratuito,45.4292,9.1786,Dati dimostrativi,DEMO - SERVIZIO NON REALE,Municipio 5
DEMO – Centro Salute Porta Venezia,ospedale,Ente dimostrativo,Salute,Ambulatorio fittizio per supporto sanitario e psicologico.,Minori e genitori,"Corso Buenos Aires 33, Milano",Porta Venezia,Lunedì-Venerdì 08:30-17:30,Su appuntamento,,,Gratuito,45.4797,9.2106,Dati dimostrativi,DEMO - SERVIZIO NON REALE,Municipio 3
